0,P,0.9976796184347302
74,P,0.0013398345762025315
77,78,P,1.6355403705363143E-4
23,77,P,1.6355403705040671E-4
2,77,P,1.6355403694933584E-4
77,96,P,4.0888509263898656E-5
77,92,P,4.088850926381086E-5
56,77,P,4.088850920761115E-5
48,77,P,4.0887486183706775E-5
16,77,P,4.088748618350851E-5
49,77,P,2.423022762615121E-5
77,117,P,1.724983984575043E-5
9,P,1.208559312480317E-5
77,86,P,8.028375044975089E-6
8,77,P,8.02837503981145E-6
5,P,7.878546515227314E-6
64,77,P,7.0826956374025974E-6
77,122,P,7.082695636289386E-6
34,77,P,7.082695636125432E-6
43,77,P,7.082695636001307E-6
3,77,P,7.082695636001307E-6
58,77,P,6.336418496950912E-6
11,77,P,6.336418496524936E-6
77,94,P,6.336418495185468E-6
77,118,P,6.336418495185468E-6
38,77,P,6.33641848607199E-6
77,99,P,5.732469200419915E-6
77,84,P,5.732469200419915E-6
15,77,P,5.732329494912239E-6
7,77,P,5.732329494906803E-6
57,77,P,5.732329494906803E-6
67,77,P,5.7323294949028835E-6
25,77,P,5.7323294949009066E-6
22,77,P,5.73232949487491E-6
47,P,5.355748949198899E-6
26,P,5.355748949198899E-6
116,P,5.355748949198899E-6
65,77,P,5.233664179715974E-6
17,77,P,5.233664179715974E-6
39,77,P,5.233664179635976E-6
33,77,P,5.233664179635976E-6
77,120,P,5.233664111595677E-6
77,97,P,5.2336640030976014E-6
77,88,P,4.8147377190329995E-6
18,77,P,4.814737622598567E-6
77,121,P,4.45792078952499E-6
61,77,P,4.150351516548107E-6
80,P,3.7679808723426297E-6
6,P,3.7679808723426297E-6
14,P,3.7679808723426297E-6
77,89,P,3.2527289049008234E-6
46,P,2.728047227902797E-6
81,P,2.7280472279027964E-6
79,P,2.023748145603785E-6
40,P,2.023748145603785E-6
21,P,2.023748145603785E-6
12,P,1.5329680000462342E-6
20,P,1.1824659434440063E-6
51,P,4.825110063461608E-7
