0,P,0.9393030558714599
2,4,P,0.018632077078704033
4,13,P,0.004658019260830186
2,8,P,0.004658019260830186
2,6,P,0.004658019260830186
3,P,0.003717586146578372
1,P,0.0037175861388800053
4,12,P,0.0027603077130367985
4,11,P,0.0027603077130367985
7,P,0.0025709422328014223
10,P,0.0025709422328014223
2,9,P,0.0019651018749449337
2,5,P,0.0019651018749427943
8,13,P,0.001164504817556561
6,13,P,0.001164504817556561
6,11,P,6.900769288432429E-4
8,12,P,6.900769288432421E-4
6,12,P,6.900769288432421E-4
8,11,P,6.900769288432417E-4
5,13,P,4.868079949182855E-4
9,13,P,4.8680799491827495E-4
