0,P,0.8083167520148323
2,13,P,0.058437326058150434
14,P,0.04122562635610866
10,P,0.0173920612336014
2,15,P,0.01460933151250463
7,P,0.009617114217687205
8,13,P,0.006163311733188471
13,16,P,0.006163311718737528
12,P,0.0061075002705104795
2,6,P,0.004787185515296293
2,3,P,0.004787185515296293
1,2,P,0.003914108235665126
2,11,P,0.003310636929862755
4,13,P,0.003310636918430142
9,P,0.003095413258979929
5,P,0.003095413258979929
15,16,P,0.0015408279329275898
8,15,P,0.0015268162216476938
4,15,P,8.276592371147588E-4
6,16,P,5.048984971596231E-4
3,16,P,5.048984971596231E-4
1,16,P,4.128161254493453E-4
11,16,P,3.491687407099435E-4
